"evtype_data";"passage_num1_output";"passage_num2_output"
"966";"WINTER STORMS";"Winter Storm";"Winter Storm"
"967";"WINTER WEATHER";"Winter Weather";"Winter Weather"
"968";"WINTER WEATHER MIX";"Winter Weather";"Winter Weather"
"969";"WINTER WEATHER/MIX";"Winter Weather";"Winter Weather"
"970";"WINTERY MIX";NA;"Winter Weather"
"971";"WINTRY MIX";NA;"Winter Weather"
"972";"WND";NA;NA
"973";"Wet Month";NA;NA
"974";"Wet Year";NA;NA
"975";"Whirlwind";NA;"Cold/Wind Chill"
"976";"Wind";NA;"Cold/Wind Chill"
"977";"Wind Damage";NA;"Cold/Wind Chill"
"978";"Winter Weather";"Winter Weather";"Winter Weather"
"979";"Wintry Mix";NA;"Winter Weather"
"980";"Wintry mix";NA;"Winter Weather"
"981";"blowing snow";NA;"Heavy Snow"
"982";"coastal flooding";"Flood";"Flood"
"983";"gradient wind";NA;"Cold/Wind Chill"
"984";"small hail";"Hail";"Hail"
"985";"wet micoburst";NA;NA
