grep;output
rainstorm;Heavy Rain
fog;Dense Fog
gustnado;Tornado
surf;High Surf
high winds;High Wind
hurricane;Hurricane (Typhoon)
ligthing;Lightning
ligntning;Lightning
mudslide;Debris Flow
mudslides;Debris Flow
thunderstorm;Thunderstorm Wind
thunderstorms;Thunderstorm Wind
thundeerstorm;Thunderstorm Wind
thundersnow;Thunderstorm Wind
tstm;Thunderstorm Wind
tstmw;Thunderstorm Wind
small;Flood
urban;Flood
Volcanic;Volcanic Ash
water spout;Waterspout
wayterspout;Waterspout
wintery;Winter Weather
wintry;Winter Weather
flash floooding;Flash Flood
flash flood;Flash Flood
FLOOD FLOOD/FLASH;Flash Flood
FLOOD/FLASH;Flash Flood
FLOOD/FLASH FLOOD;Flash Flood
FLOOD/FLASH FLOODING;Flash Flood
FLOOD/FLASH/FLOOD;Flash Flood
FLOOD/FLASHFLOOD;Flash Flood
avalace;Avalanche
beach;Coastal Flood
below normal;Drought
blizzard;Blizzard
dust;Dust Storm
coastal flooding;Coastal Flood
coastal flood;Coastal Flood
tidal flood;Coastal Flood
coastalflood;Coastal Flood
cstl flooding;Coastal Flood
cstl flood;Coastal Flood
cold/winds;Cold/Wind Chill
downburst;Cold/Wind Chill
drought;Drought
dust storm;Dust Storm
duststorm;Dust Storm
microburst;High Wind
rain;Heavy Rain
wetness;Heavy Rain
wet;Heavy Rain
Flood & heavy rain;Flood
FREEZING DRIZZLE;Frost/Freeze
FREEZING DRIZZLE AND FREEZING;Frost/Freeze
funnel;Funnel Cloud
funnels;Funnel Cloud
Flood/Strong Wind;Flood
Freezing Rain;Frost/Freeze
Freezing Spray;Frost/Freeze
Freezing drizzle;Frost/Freeze
Freezing rain;Frost/Freeze
Freezing Drizzle;Frost/Freeze
HEAVY RAIN/LIGHTNING;Heavy Rain
HEAVY SNOW AND HIGH WINDS;Heavy Snow
HEAVY SNOW AND STRONG WINDS;Heavy Snow
HEAVY SNOW/HIGH WIND;Heavy Snow
HEAVY SNOW/HIGH WINDS;Heavy Snow
HEAVY SNOW/HIGH WINDS & FLOOD;Heavy Snow
HEAVY SNOW/HIGH WINDS/FREEZING;Heavy Snow
HEAVY SNOW/ICE;Heavy Snow
HEAVY SNOW/ICE STORM;Heavy Snow
HEAVY SNOW/SLEET;Heavy Snow
HEAVY SNOW/SQUALLS;Heavy Snow
HEAVY SNOW/WIND;Heavy Snow
HEAVY SNOW/WINTER STORM;Heavy Snow
HEAVY SNOWPACK;Heavy Snow
HEAVY SURF COASTAL FLOODING;High Surf
HIGH  SWELLS;High Surf
HIGH SEAS;High Surf
HIGH TEMPERATURE RECORD;Heat
HIGH WATER;Storm Surge/Tide
HIGH WAVES;High Surf
HOT/DRY PATTERN;Heat
HURRICANE OPAL/HIGH WINDS;Hurricane (Typhoon)
HVY RAIN;Heavy Rain
Heavy Rain/High Surf;Heavy Rain
ICE/STRONG WINDS;Frost/Freeze
ICY ROADS;Frost/Freeze
LACK OF SNOW;Lake-Effect Snow
LAKE EFFECT SNOW;Lake-Effect Snow
LAKE FLOOD;Lakeshore Flood
LAKESHORE FLOOD;Lakeshore Flood
LANDSLIDE/URBAN FLOOD;Avalanche
LARGE WALL CLOUD;Dense Fog
LIGHT FREEZING RAIN;Frost/Freeze
LIGHT SNOW;Frost/Freeze
LIGHT SNOW/FREEZING PRECIP;Frost/Freeze
LIGHTING;Lightning
LIGNTNING;Lightning
LOCAL FLASH FLOOD;Flash Flood
Lake Effect Snow;Lake-Effect Snow
Light snow;Frost/Freeze
Light Snow;Frost/Freeze
Light Snow/Flurries;Frost/Freeze
Light Snowfall;Frost/Freeze
Light snow;Frost/Freeze
MARINE STRONG WIND;Marine High Wind
MARINE THUNDERSTORM WIND;Marine Thunderstorm Wind
MARINE TSTM WIND;Marine Thunderstorm Wind
MUD SLIDE;Debris Flow
MUD SLIDES;Debris Flow
MUD/ROCK SLIDE;Debris Flow
NON TSTM WIND;High Wind
NON-SEVERE WIND DAMAGE;High Wind
PROLONGED RAIN;Heavy Rain
RAPIDLY RISING WATER;Storm Surge/Tide
RECORD COLD AND HIGH WIND;Frost/Freeze
RECORD HIGH;Heat
RECORD HIGH TEMPERATURE;Heat
RECORD HIGH TEMPERATURES;Heat
RECORD SNOW/COLD;Heavy Rain
RECORD TEMPERATURE;Heat
RECORD TEMPERATURES;Heat
RECORD WARM;Heat
RECORD WARM TEMPS.;Heat
ROCK SLIDE;Avalanche
ROGUE WAVE;High Surf
ROUGH SEAS;High Surf
Record High;High Wind
Record Temperatures;Heat
SAHARAN DUST;Dust Storm
SEVERE TURBULENCE;High Wind
SMOKE;Wildfire
SNOW AND COLD;Heavy Snow
SNOW AND HEAVY SNOW;Heavy Snow
SNOW AND ICE;Heavy Snow
SNOW AND ICE STORM;Heavy Snow
SNOW AND SLEET;Heavy Snow
SNOW AND WIND;Heavy Snow
SNOW DROUGHT;Heavy Snow
SNOW FREEZING RAIN;Heavy Snow
SNOW SHOWERS;Heavy Snow
SNOW SLEET;Heavy Snow
SNOW SQUALL;Heavy Snow
SNOW SQUALLS;Heavy Snow
SNOW- HIGH WIND- WIND CHILL;Heavy Snow
SNOW/ BITTER COLD;Heavy Snow
SNOW/ ICE;Heavy Snow
SNOW/BLOWING SNOW;Heavy Snow
SNOW/COLD;Heavy Snow
SNOW/FREEZING RAIN;Heavy Snow
SNOW/HEAVY SNOW;Heavy Snow
SNOW/HIGH WINDS;Heavy Snow
SNOW/ICE;Heavy Snow
SNOW/ICE STORM;Heavy Snow
SNOW/RAIN;Heavy Snow
SNOW/RAIN/SLEET;Heavy Snow
SNOW/SLEET;Heavy Snow
SNOW/SLEET/FREEZING RAIN;Heavy Snow
SNOW/SLEET/RAIN;Heavy Snow
SNOWFALL RECORD;Heavy Snow
SNOWMELT FLOODING;Heavy Snow
SNOWSTORM;Heavy Snow
SNOW\COLD;Heavy Snow
STORM FORCE WINDS;High Wind
STORM SURGE;Storm Surge/Tide
STORM SURGE/TIDE;Storm Surge/Tide
Sml Stream Fld;Flood
TORNDAO;Tornado
TORRENTIAL RAIN;Heavy Rain
TSTM HEAVY RAIN;Thunderstorm Wind
TUNDERSTORM WIND;Thunderstorm Wind
TYPHOON;Hurricane (Typhoon)
Temperature record;Heat
UNSEASONABLY WARM;Heat
UNSEASONABLY WARM & WET;Heat
UNSEASONABLY WARM AND DRY;Heat
UNSEASONABLY WARM YEAR;Heat
UNSEASONABLY WARM/WET;Heat
UNSEASONABLY WET;Heavy Rain
UNSEASONAL RAIN;Heavy Rain
UNSEASONAL LOW TEMP;Frost/Freeze
UNUSUALLY WARM;Heat
avalance;Avalanche
blizzard;Blizzard
COASTAL  FLOODING/EROSION;Coastal Flood
COASTAL SURGE;Storm Surge/Tide
COLD AIR TORNADO;Tornado
COLD AND WET CONDITIONS;Frost/Freeze
COOL AND WET;Frost/Freeze
DAM BREAK;Flood
DAM FAILURE;Flood
DOWNBURST;High Wind
DOWNBURST WINDS;High Wind
Dust Devil;Dust Devil
FLOOD/RAIN/WIND;Flood
FLOOD/RAIN/WINDS;Flood
FLOODING/HEAVY RAIN;Flood
GRADIENT WIND;High Wind
GRADIENT WINDS;High Wind
GUSTY LAKE WIND;High Wind
GUSTY WIND;High Wind
GUSTY WIND/HAIL;High Wind
GUSTY WIND/HVY RAIN;High Wind
GUSTY WINDS;High Wind
Gradient wind;High Wind
Gusty Wind;High Wind
Gusty Winds;High Wind
Gusty wind/rain;High Wind
Gusty winds;High Wind
HAIL/ICY ROADS;Hail
HAIL/WIND;Hail
HAIL/WINDS;Hail
HAILSTORM;Hail
HAILSTORMS;Hail
HEAVY SNOW   FREEZING RAIN;Heavy Snow
HEAVY SNOW & ICE;Heavy Snow
HEAVY SNOW/BLIZZARD;Heavy Snow
HEAVY SNOW/BLIZZARD/AVALANCHE;Heavy Snow
HEAVY SWELLS;High Surf
HIGH  WINDS;High Wind
HIGH WIND;High Wind
HIGH WIND (G40);High Wind
HIGH WIND 48;High Wind
HIGH WIND 63;High Wind
HIGH WIND 70;High Wind
HIGH WIND AND HEAVY SNOW;High Wind
HIGH WIND AND HIGH TIDES;High Wind
HIGH WIND AND SEAS;High Wind
HIGH WIND DAMAGE;High Wind
HIGH WIND/ BLIZZARD;High Wind
HIGH WIND/BLIZZARD;High Wind
HIGH WIND/BLIZZARD/FREEZING RA;High Wind
HIGH WIND/HEAVY SNOW;High Wind
HIGH WIND/LOW WIND CHILL;High Wind
HIGH WIND/SEAS;High Wind
HIGH WIND/WIND CHILL;High Wind
HIGH WIND/WIND CHILL/BLIZZARD;High Wind
HIGH WINDS;High Wind
HIGH WINDS 55;High Wind
HIGH WINDS 57;High Wind
HIGH WINDS 58;High Wind
HIGH WINDS 63;High Wind
HIGH WINDS 66;High Wind
HIGH WINDS 67;High Wind
HIGH WINDS 73;High Wind
HIGH WINDS 76;High Wind
HIGH WINDS 80;High Wind
HIGH WINDS 82;High Wind
HIGH WINDS AND WIND CHILL;High Wind
HIGH WINDS DUST STORM;High Wind
HIGH WINDS HEAVY RAINS;High Wind
HIGH WINDS/;High Wind
HIGH WINDS/COASTAL FLOOD;High Wind
HIGH WINDS/COLD;High Wind
HIGH WINDS/FLOODING;High Wind
HIGH WINDS/HEAVY RAIN;High Wind
HIGH WINDS/SNOW;High Wind
HYPERTHERMIA/EXPOSURE;Frost/Freeze
HYPOTHERMIA;Frost/Freeze
HYPOTHERMIA/EXPOSURE;Frost/Freeze
Heavy snow shower;Heavy Snow
Hypothermia/Exposure;Frost/Freeze
ICE STORM/FLASH FLOOD;Frost/Freeze
LAKE-EFFECT SNOW;Lake-Effect Snow
LIGHT SNOW AND SLEET;Sleet
LIGHTNING AND HEAVY RAIN;Lightning
LIGHTNING AND THUNDERSTORM WIN;Lightning
LIGHTNING AND WINDS;Lightning
LIGHTNING/HEAVY RAIN;Lightning
LOW TEMPERATURE RECORD;Frost/Freeze
MARINE HIGH WIND;Marine High Wind
RECORD LOW;Frost/Freeze
RECORD LOW RAINFALL;Frost/Freeze
SLEET & FREEZING RAIN;Sleet
SLEET STORM;Sleet
SLEET/FREEZING RAIN;Sleet
SLEET/ICE STORM;Sleet
SLEET/RAIN/SNOW;Sleet
SLEET/SNOW;Sleet
SNOW\COLD;Heavy Snow
STRONG WIND;High Wind
STRONG WIND GUST;High Wind
STRONG WINDS;High Wind
Small Hail;Hail
Strong Wind;High Wind
Strong Winds;High Wind
Strong winds;High Wind
THUDERSTORM WINDS;Thunderstorm Wind
THUNDERESTORM WINDS;Thunderstorm Wind
THUNDERSTORM WINDS FUNNEL CLOU;Thunderstorm Wind
THUNDERSTORM WINDS HEAVY RAIN;Thunderstorm Wind
THUNDERSTORM WINDS SMALL STREA;Thunderstorm Wind
THUNDERSTORM WINDS URBAN FLOOD;Thunderstorm Wind
THUNDERSTORM WINDS/FLASH FLOOD;Thunderstorm Wind
THUNDERSTORM WINDS/FUNNEL CLOU;Thunderstorm Wind
THUNDERSTORM WINDS/HEAVY RAIN;Thunderstorm Wind
THUNDERSTROM WIND;Thunderstorm Wind
THUNDERSTROM WINDS;Thunderstorm Wind
THUNDERTORM WINDS;Thunderstorm Wind
THUNDERTSORM WIND;Thunderstorm Wind
THUNDESTORM WINDS;Thunderstorm Wind
THUNERSTORM WINDS;Thunderstorm Wind
TORNADO/WATERSPOUT;Tornado
TORNADOES, TSTM WIND, HAIL;Tornado
VERY WARM;Heat
WARM WEATHER;Heat
WIND ADVISORY;High Wind
WIND AND WAVE;High Wind
WIND DAMAGE;High Wind
WIND GUSTS;High Wind
WIND STORM;High Wind
WIND/HAIL;High Wind
WINTER STORM HIGH WINDS;Winter Storm
WINTER STORM/HIGH WIND;Winter Storm
WINTER STORM/HIGH WINDS;Winter Storm
small hail;Hail
