grep;output
cstl flooding;Coastal Flood
cstl flood;Coastal Flood
cold/winds;Cold/Wind Chill
downburst;Cold/Wind Chill
drought;Drought
dust storm;Dust Storm
duststorm;Dust Storm
microburst;High Wind
rain;Heavy Rain
wetness;Heavy Rain
wet;Heavy Rain
Flood & heavy rain;Flood
FREEZING DRIZZLE;Frost/Freeze
FREEZING DRIZZLE AND FREEZING;Frost/Freeze
funnel;Funnel Cloud
funnels;Funnel Cloud
Flood/Strong Wind;Flood
Freezing Rain;Frost/Freeze
Freezing Spray;Frost/Freeze
Freezing drizzle;Frost/Freeze
Freezing rain;Frost/Freeze
Freezing Drizzle;Frost/Freeze
HEAVY RAIN/LIGHTNING;Heavy Rain
HEAVY SNOW AND HIGH WINDS;Heavy Snow
HEAVY SNOW AND STRONG WINDS;Heavy Snow
HEAVY SNOW/HIGH WIND;Heavy Snow
HEAVY SNOW/HIGH WINDS;Heavy Snow
HEAVY SNOW/HIGH WINDS & FLOOD;Heavy Snow
HEAVY SNOW/HIGH WINDS/FREEZING;Heavy Snow
HEAVY SNOW/ICE;Heavy Snow
HEAVY SNOW/ICE STORM;Heavy Snow
HEAVY SNOW/SLEET;Heavy Snow
HEAVY SNOW/SQUALLS;Heavy Snow
HEAVY SNOW/WIND;Heavy Snow
HEAVY SNOW/WINTER STORM;Heavy Snow
HEAVY SNOWPACK;Heavy Snow
HEAVY SURF COASTAL FLOODING;High Surf
HIGH  SWELLS;High Surf
HIGH SEAS;High Surf
HIGH TEMPERATURE RECORD;Heat
HIGH WATER;Storm Surge/Tide
HIGH WAVES;High Surf
HOT/DRY PATTERN;Heat
HURRICANE OPAL/HIGH WINDS;Hurricane (Typhoon)
HVY RAIN;Heavy Rain
Heavy Rain/High Surf;Heavy Rain
ICE/STRONG WINDS;Frost/Freeze
ICY ROADS;Frost/Freeze
LACK OF SNOW;Lake-Effect Snow
LAKE EFFECT SNOW;Lake-Effect Snow
LAKE FLOOD;Lakeshore Flood
LAKESHORE FLOOD;Lakeshore Flood
LANDSLIDE/URBAN FLOOD;Avalanche
LARGE WALL CLOUD;Dense Fog
LIGHT FREEZING RAIN;Frost/Freeze
LIGHT SNOW;Frost/Freeze
LIGHT SNOW/FREEZING PRECIP;Frost/Freeze
LIGHTING;Lightning
LIGNTNING;Lightning
LOCAL FLASH FLOOD;Flash Flood
Lake Effect Snow;Lake-Effect Snow
Light snow;Frost/Freeze
Light Snow;Frost/Freeze
Light Snow/Flurries;Frost/Freeze
Light Snowfall;Frost/Freeze
Light snow;Frost/Freeze
MARINE STRONG WIND;Marine High Wind
MARINE THUNDERSTORM WIND;Marine Thunderstorm Wind
MARINE TSTM WIND;Marine Thunderstorm Wind
MUD SLIDE;Debris Flow
MUD SLIDES;Debris Flow
MUD/ROCK SLIDE;Debris Flow
NON TSTM WIND;High Wind
NON-SEVERE WIND DAMAGE;High Wind
PROLONGED RAIN;Heavy Rain
RAPIDLY RISING WATER;Storm Surge/Tide
RECORD COLD AND HIGH WIND;Frost/Freeze
RECORD HIGH;Heat
RECORD HIGH TEMPERATURE;Heat
RECORD HIGH TEMPERATURES;Heat
RECORD SNOW/COLD;Heavy Rain
RECORD TEMPERATURE;Heat
RECORD TEMPERATURES;Heat
RECORD WARM;Heat
RECORD WARM TEMPS.;Heat
ROCK SLIDE;Avalanche
ROGUE WAVE;High Surf
ROUGH SEAS;High Surf
Record High;High Wind
Record Temperatures;Heat
SAHARAN DUST;Dust Storm
SEVERE TURBULENCE;High Wind
SMOKE;Wildfire
SNOW AND COLD;Heavy Snow
SNOW AND HEAVY SNOW;Heavy Snow
SNOW AND ICE;Heavy Snow
SNOW AND ICE STORM;Heavy Snow
SNOW AND SLEET;Heavy Snow
SNOW AND WIND;Heavy Snow
SNOW DROUGHT;Heavy Snow
SNOW FREEZING RAIN;Heavy Snow
SNOW SHOWERS;Heavy Snow
SNOW SLEET;Heavy Snow
SNOW SQUALL;Heavy Snow
SNOW SQUALLS;Heavy Snow
SNOW- HIGH WIND- WIND CHILL;Heavy Snow
SNOW/ BITTER COLD;Heavy Snow
SNOW/ ICE;Heavy Snow
SNOW/BLOWING SNOW;Heavy Snow
SNOW/COLD;Heavy Snow
SNOW/FREEZING RAIN;Heavy Snow
SNOW/HEAVY SNOW;Heavy Snow
SNOW/HIGH WINDS;Heavy Snow
SNOW/ICE;Heavy Snow
SNOW/ICE STORM;Heavy Snow
SNOW/RAIN;Heavy Snow
SNOW/RAIN/SLEET;Heavy Snow
SNOW/SLEET;Heavy Snow
SNOW/SLEET/FREEZING RAIN;Heavy Snow
SNOW/SLEET/RAIN;Heavy Snow
SNOWFALL RECORD;Heavy Snow
SNOWMELT FLOODING;Heavy Snow
SNOWSTORM;Heavy Snow
SNOW\COLD;Heavy Snow
STORM FORCE WINDS;High Wind
STORM SURGE;Storm Surge/Tide
STORM SURGE/TIDE;Storm Surge/Tide
Sml Stream Fld;Flood
TORNDAO;Tornado
TORRENTIAL RAIN;Heavy Rain
TSTM HEAVY RAIN;Thunderstorm Wind
TUNDERSTORM WIND;Thunderstorm Wind
TYPHOON;Hurricane (Typhoon)
Temperature record;Heat
UNSEASONABLY WARM;Heat
UNSEASONABLY WARM & WET;Heat
UNSEASONABLY WARM AND DRY;Heat
UNSEASONABLY WARM YEAR;Heat
UNSEASONABLY WARM/WET;Heat
UNSEASONABLY WET;Heavy Rain
UNSEASONAL RAIN;Heavy Rain
UNSEASONAL LOW TEMP;Frost/Freeze
UNUSUALLY WARM;Heat
